address,staked_bmx,voter_points
0x5FF09a7a0E5bCfeB08420F6A63bACE323AF93dc8,60.695196955099479396,76.868304364031277675
0x1bd0F0D80b7a7f53B56126183dd0960af8257dFB,57.844049385939059705,124.996995785813566797
0x48cBc5C5C42A82a27fEb0b41b14bcd9D2E13cfB5,56.390237472796666975,120.129619904623328233
0x227F0F87D2e3022aC11dFd81709AF6bB6FDc8Af5,56.244899459463577095,56.24169983523633591
0xF8F8183f36D99Afec8CB54B319Cd4aa331c373c8,56.192161459603098456,36.76366105232579309
0x65b7Aa1046dfB5a1e65aa4825A36A37f3DD582b0,53.357674283429773312,77.783049809789957037
0xBA68E6dc2C60670Fb0a8c320E67185116AEf2515,50.227344036644303887,116.701434119689672245
0xD79868ff4f4155fDbbd20ABF66CCE130356cdA17,48.913584541645035277,81.086899949456228406
0x7Fc528Dbe0ef5Ca720E4B3338034444c642896f7,44.944892413495177881,102.695929487888427667
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,43.565330271160872775,20.262952427167189206
0xB84bf98C503CfA025936714322C449Cd74864f2a,41.05593690332619797,69.536878804737308044
0x48d18A882b0Be145606A11fCe6F8A301256B93fa,40.683228833987170237,55.012435846548088244
0x94546A26842A971DAdCD00233665D4e2B46AEd2D,40.313632558945943117,37.30746919313212092
0x3EDB7d5b494cCB9bb84D11CA25F320Af2bb15f40,36.844363110074963466,25.897044226470233392
0x464bFb8838F89c08EfAd08Ac504efB3538Ec8813,36.237981277209664641,25.588441110473335372
0x8BDaDf862f6b1EFE7ADD0d77DBc3C7F42d3232Fc,33.241182374543505804,51.007569799323155573
0x30945Ae0BBeA61017Bdd134f25efFFB954298799,31.039628540616701285,47.771998183264555437
0x193641EA463C3B9244cF9F00b77EE5220d4154e9,31.012585555567942127,24.360926132942532919
0x567F65992ea5586f917197cB2680DCBC76b751De,30.111906318021354641,25.648289808148336031
0x3D6991085Ab1ae3926cB96f25684C40a364B6856,30.084047035817215096,12.35279539764938573
0xfDaA689cA3C98718419562Cc4929a0CEcD02afe8,29.345821137372012463,26.742759521647514282
0x5C574d0eaD39fdDd680067783FB5AA9A1a99e453,27.826439496062117865,29.573413297635923321
0xAd649f52a7d6f106f3a69a0Bc542E885e67FeE6b,27,18.530815068493150684
